1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,0,0,26,-99,0,0,0,0,0,3.5
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,4.4,0,0,3,0,-99,0,0,0,0,0,1,0,0,0,0,0,-99,39,0,0,0,0,0.8,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,2.8,0,0,25.3
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,10,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,28.4,0,0,0,0,-99,0,0,0,-99,8.7,0,0,-99,0,0,22.5,0,1.6,7.7
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,9,-99,0,0,0,0,0,0,0,0,0,25.3,0,-99,0,0,0,0,0,0,0,0,0.5,0,-99,9.5,0,0,-99,5,0,0,-99,0,0,6.2,0,71,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,10,-99,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,3.2,0,-99,0,0,0,-99,0,0,0,-99,0,0,7.8,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,-99,47,0,0,0,0,0,3,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0.5,-99,6.5,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,-99,0,20,0,0,0,0,21,0,0,0,0,-99,40,0,0,0,0,0,0,0,0,0,-99,0,0,29.8,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,6,0,-99,0,11,0,0,0,0,23,0,0,0,0,-99,52,0,0,0,0,0,0,0,0,0,-99,0,0,6.3,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,9,0,0,0,4,0,-99,0,0,0,0,0,0,4.5,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,6.2,0,0,-99,0,0,0,-99,0,0,0,0,0,0
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.6,0,0,0,0,0,-99,0,0,0,0,0,0,22.2,0,0,0,0,-99,0,0,0,0,5.4,0,0,0,0,0,-99,0,0,0,-99,0,0,0,-99,0,0,0,0,0,0
